angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.31,"[247, 88, 100, 129]",0.01,0.13,0.24,0.02,0.28,0.01
0.07,"[248, 86, 102, 133]",0.01,0.06,0.78,0.05,0.04,0.01
0.01,"[252, 86, 101, 129]",0.0,0.01,0.98,0.01,0.0,0.0
0.02,"[261, 89, 96, 124]",0.0,0.03,0.91,0.02,0.02,0.01
0.03,"[263, 89, 97, 123]",0.0,0.03,0.87,0.03,0.04,0.01
0.01,"[253, 85, 101, 129]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[258, 85, 101, 127]",0.0,0.01,0.97,0.0,0.0,0.0
0.01,"[259, 85, 100, 127]",0.0,0.01,0.98,0.0,0.0,0.0
0.07,"[258, 85, 100, 128]",0.0,0.04,0.87,0.0,0.02,0.01
0.13,"[256, 85, 102, 128]",0.0,0.09,0.71,0.0,0.02,0.04
0.07,"[255, 83, 104, 131]",0.0,0.16,0.72,0.0,0.04,0.01
0.21,"[251, 86, 96, 124]",0.0,0.15,0.55,0.01,0.04,0.05
0.17,"[250, 87, 96, 125]",0.0,0.14,0.57,0.01,0.07,0.03
0.17,"[250, 75, 104, 135]",0.0,0.18,0.49,0.01,0.11,0.03
0.12,"[250, 75, 105, 135]",0.0,0.09,0.69,0.0,0.05,0.03
0.02,"[250, 82, 103, 133]",0.0,0.02,0.91,0.0,0.01,0.05
0.06,"[249, 80, 103, 134]",0.0,0.1,0.78,0.01,0.02,0.03
0.05,"[247, 82, 101, 130]",0.0,0.02,0.9,0.0,0.0,0.03
0.13,"[247, 82, 99, 130]",0.0,0.05,0.73,0.0,0.02,0.07
0.09,"[255, 85, 99, 128]",0.0,0.03,0.85,0.0,0.01,0.03
0.17,"[256, 86, 99, 127]",0.0,0.05,0.7,0.0,0.01,0.07
0.07,"[251, 81, 105, 136]",0.0,0.02,0.85,0.0,0.01,0.05
0.09,"[249, 80, 105, 139]",0.0,0.02,0.8,0.01,0.02,0.06
0.08,"[250, 81, 104, 138]",0.0,0.04,0.77,0.02,0.04,0.06
0.07,"[250, 81, 104, 138]",0.0,0.03,0.8,0.02,0.03,0.06
0.06,"[250, 81, 103, 135]",0.0,0.09,0.75,0.02,0.05,0.04
0.03,"[251, 81, 103, 136]",0.0,0.03,0.88,0.01,0.01,0.03
0.02,"[251, 81, 103, 136]",0.0,0.03,0.88,0.01,0.01,0.04
0.03,"[250, 82, 104, 136]",0.0,0.02,0.85,0.04,0.01,0.05
0.01,"[246, 82, 99, 129]",0.0,0.01,0.95,0.01,0.0,0.02
